Joint1_Type,Joint1_Axis,Joint2_Type,Joint2_Axis,Joint3_Type,Joint3_Axis,Joint4_Type,Joint4_Axis,Joint5_Type,Joint5_Axis,Joint6_Type,Joint6_Axis,Index
roll,z,pris,z,roll,y,roll,y,roll,y,roll,y,1
roll,z,pris,z,roll,y,roll,y,roll,y,pitch,y,2
roll,z,pris,z,roll,y,roll,y,roll,y,pris,z,3
roll,z,pris,z,roll,y,roll,y,roll,y,pris,y,4
roll,z,pris,z,roll,y,roll,y,pitch,y,roll,y,5
roll,z,pris,z,roll,y,roll,y,pitch,y,pitch,y,6
roll,z,pris,z,roll,y,roll,y,pitch,y,pris,z,7
roll,z,pris,z,roll,y,roll,y,pitch,y,pris,y,8
roll,z,pris,z,roll,y,roll,y,pitch,y,pitch,z,9
roll,z,pris,z,roll,y,roll,y,pitch,y,roll,x,10
roll,z,pris,z,roll,y,roll,y,pitch,y,pris,x,11
roll,z,pris,z,roll,y,roll,y,pitch,y,roll,z,12
roll,z,pris,z,roll,y,roll,y,pitch,y,pitch,x,13
roll,z,pris,z,roll,y,roll,y,pris,z,roll,y,14
roll,z,pris,z,roll,y,roll,y,pris,z,pitch,y,15
roll,z,pris,z,roll,y,roll,y,pris,z,pris,y,16
roll,z,pris,z,roll,y,roll,y,pris,y,roll,y,17
roll,z,pris,z,roll,y,roll,y,pris,y,pitch,y,18
roll,z,pris,z,roll,y,roll,y,pris,y,pris,y,19
roll,z,pris,z,roll,y,roll,y,pris,y,pitch,z,20
roll,z,pris,z,roll,y,roll,y,pris,y,roll,x,21
roll,z,pris,z,roll,y,roll,y,pris,y,pris,x,22
roll,z,pris,z,roll,y,roll,y,pris,y,roll,z,23
roll,z,pris,z,roll,y,roll,y,pris,y,pitch,x,24
roll,z,pris,z,roll,y,pitch,y,roll,y,roll,y,25
roll,z,pris,z,roll,y,pitch,y,roll,y,pitch,y,26
roll,z,pris,z,roll,y,pitch,y,roll,y,pris,z,27
roll,z,pris,z,roll,y,pitch,y,roll,y,pris,y,28
roll,z,pris,z,roll,y,pitch,y,pitch,y,roll,y,29
roll,z,pris,z,roll,y,pitch,y,pitch,y,pitch,y,30
roll,z,pris,z,roll,y,pitch,y,pitch,y,pris,z,31
roll,z,pris,z,roll,y,pitch,y,pitch,y,pris,y,32
roll,z,pris,z,roll,y,pitch,y,pitch,y,pitch,z,33
roll,z,pris,z,roll,y,pitch,y,pitch,y,roll,x,34
roll,z,pris,z,roll,y,pitch,y,pitch,y,pris,x,35
roll,z,pris,z,roll,y,pitch,y,pitch,y,roll,z,36
roll,z,pris,z,roll,y,pitch,y,pitch,y,pitch,x,37
roll,z,pris,z,roll,y,pitch,y,pris,z,roll,y,38
roll,z,pris,z,roll,y,pitch,y,pris,z,pitch,y,39
roll,z,pris,z,roll,y,pitch,y,pris,z,pris,y,40
roll,z,pris,z,roll,y,pitch,y,pris,z,pitch,z,41
roll,z,pris,z,roll,y,pitch,y,pris,z,roll,x,42
roll,z,pris,z,roll,y,pitch,y,pris,z,pris,x,43
roll,z,pris,z,roll,y,pitch,y,pris,z,roll,z,44
roll,z,pris,z,roll,y,pitch,y,pris,z,pitch,x,45
