Link1_Length,Link2_Length,Link3_Length,Link4_Length,Link5_Length,Link6_Length,Index
0.1,0.1,0.1,0.1,0.3,0.7,1
0.1,0.1,0.1,0.1,0.5,0.5,2
0.1,0.1,0.1,0.1,0.5,0.7,3
0.1,0.1,0.1,0.1,0.7,0.3,4
0.1,0.1,0.1,0.1,0.7,0.5,5
0.1,0.1,0.1,0.1,0.7,0.7,6
0.1,0.1,0.1,0.3,0.1,0.7,7
0.1,0.1,0.1,0.3,0.3,0.5,8
0.1,0.1,0.1,0.3,0.3,0.7,9
0.1,0.1,0.1,0.3,0.5,0.3,10
0.1,0.1,0.1,0.3,0.5,0.5,11
0.1,0.1,0.1,0.3,0.5,0.7,12
0.1,0.1,0.1,0.3,0.7,0.1,13
0.1,0.1,0.1,0.3,0.7,0.3,14
0.1,0.1,0.1,0.3,0.7,0.5,15
0.1,0.1,0.1,0.3,0.7,0.7,16
0.1,0.1,0.1,0.5,0.1,0.5,17
0.1,0.1,0.1,0.5,0.1,0.7,18
0.1,0.1,0.1,0.5,0.3,0.3,19
0.1,0.1,0.1,0.5,0.3,0.5,20
0.1,0.1,0.1,0.5,0.3,0.7,21
0.1,0.1,0.1,0.5,0.5,0.1,22
0.1,0.1,0.1,0.5,0.5,0.3,23
0.1,0.1,0.1,0.5,0.5,0.5,24
0.1,0.1,0.1,0.5,0.5,0.7,25
0.1,0.1,0.1,0.5,0.7,0.1,26
0.1,0.1,0.1,0.5,0.7,0.3,27
0.1,0.1,0.1,0.5,0.7,0.5,28
0.1,0.1,0.1,0.7,0.1,0.3,29
0.1,0.1,0.1,0.7,0.1,0.5,30
0.1,0.1,0.1,0.7,0.1,0.7,31
0.1,0.1,0.1,0.7,0.3,0.1,32
0.1,0.1,0.1,0.7,0.3,0.3,33
0.1,0.1,0.1,0.7,0.3,0.5,34
0.1,0.1,0.1,0.7,0.3,0.7,35
0.1,0.1,0.1,0.7,0.5,0.1,36
0.1,0.1,0.1,0.7,0.5,0.3,37
0.1,0.1,0.1,0.7,0.5,0.5,38
0.1,0.1,0.1,0.7,0.7,0.1,39
0.1,0.1,0.1,0.7,0.7,0.3,40
0.1,0.1,0.3,0.1,0.1,0.7,41
0.1,0.1,0.3,0.1,0.3,0.5,42
0.1,0.1,0.3,0.1,0.3,0.7,43
0.1,0.1,0.3,0.1,0.5,0.3,44
0.1,0.1,0.3,0.1,0.5,0.5,45
0.1,0.1,0.3,0.1,0.5,0.7,46
0.1,0.1,0.3,0.1,0.7,0.1,47
0.1,0.1,0.3,0.1,0.7,0.3,48
0.1,0.1,0.3,0.1,0.7,0.5,49
0.1,0.1,0.3,0.1,0.7,0.7,50
0.1,0.1,0.3,0.3,0.1,0.5,51
0.1,0.1,0.3,0.3,0.1,0.7,52
0.1,0.1,0.3,0.3,0.3,0.3,53
0.1,0.1,0.3,0.3,0.3,0.5,54
0.1,0.1,0.3,0.3,0.3,0.7,55
0.1,0.1,0.3,0.3,0.5,0.1,56
0.1,0.1,0.3,0.3,0.5,0.3,57
0.1,0.1,0.3,0.3,0.5,0.5,58
0.1,0.1,0.3,0.3,0.5,0.7,59
0.1,0.1,0.3,0.3,0.7,0.1,60
0.1,0.1,0.3,0.3,0.7,0.3,61
0.1,0.1,0.3,0.3,0.7,0.5,62
0.1,0.1,0.3,0.5,0.1,0.3,63
0.1,0.1,0.3,0.5,0.1,0.5,64
0.1,0.1,0.3,0.5,0.1,0.7,65
0.1,0.1,0.3,0.5,0.3,0.1,66
0.1,0.1,0.3,0.5,0.3,0.3,67
0.1,0.1,0.3,0.5,0.3,0.5,68
0.1,0.1,0.3,0.5,0.3,0.7,69
0.1,0.1,0.3,0.5,0.5,0.1,70
0.1,0.1,0.3,0.5,0.5,0.3,71
0.1,0.1,0.3,0.5,0.5,0.5,72
0.1,0.1,0.3,0.5,0.7,0.1,73
0.1,0.1,0.3,0.5,0.7,0.3,74
0.1,0.1,0.3,0.7,0.1,0.1,75
0.1,0.1,0.3,0.7,0.1,0.3,76
0.1,0.1,0.3,0.7,0.1,0.5,77
0.1,0.1,0.3,0.7,0.1,0.7,78
0.1,0.1,0.3,0.7,0.3,0.1,79
0.1,0.1,0.3,0.7,0.3,0.3,80
0.1,0.1,0.3,0.7,0.3,0.5,81
0.1,0.1,0.3,0.7,0.5,0.1,82
0.1,0.1,0.3,0.7,0.5,0.3,83
0.1,0.1,0.3,0.7,0.7,0.1,84
0.1,0.1,0.5,0.1,0.1,0.5,85
