Joint1_Type,Joint1_Axis,Joint2_Type,Joint2_Axis,Joint3_Type,Joint3_Axis,Joint4_Type,Joint4_Axis,Joint5_Type,Joint5_Axis,Joint6_Type,Joint6_Axis,Index
roll,z,pitch,y,pitch,x,pitch,y,pris,x,pitch,x,1
roll,z,pitch,y,pitch,x,pitch,y,pitch,x,pitch,x,2
roll,z,pitch,y,pitch,x,pitch,z,pris,x,pitch,x,3
roll,z,pitch,y,pitch,x,pitch,z,pitch,x,pitch,x,4
roll,z,pitch,y,pitch,x,pitch,x,pris,x,pitch,x,5
roll,z,pitch,y,pitch,x,pitch,x,pitch,x,pitch,x,6
roll,z,pitch,y,pitch,x,pitch,y,roll,x,pitch,y,7
roll,z,pitch,y,pitch,x,pitch,y,pris,x,pitch,y,8
roll,z,pitch,y,pitch,x,pitch,y,pitch,x,pitch,y,9
roll,z,pitch,y,pitch,x,pitch,z,roll,x,pitch,y,10
roll,z,pitch,y,pitch,x,pitch,z,pris,x,pitch,y,11
roll,z,pitch,y,pitch,x,pitch,z,pitch,x,pitch,y,12
roll,z,pitch,y,pitch,x,pitch,x,roll,x,pitch,y,13
roll,z,pitch,y,pitch,x,pitch,x,pris,x,pitch,y,14
roll,z,pitch,y,pitch,x,pitch,x,pitch,x,pitch,y,15
roll,z,pitch,y,pitch,x,pitch,y,pris,x,pitch,z,16
roll,z,pitch,y,pitch,x,pitch,y,pitch,x,pitch,z,17
roll,z,pitch,y,pitch,x,pitch,z,pris,x,pitch,z,18
roll,z,pitch,y,pitch,x,pitch,z,pitch,x,pitch,z,19
roll,z,pitch,y,pitch,x,pitch,x,pris,x,pitch,z,20
roll,z,pitch,y,pitch,x,pitch,x,pitch,x,pitch,z,21
roll,z,pitch,y,pitch,x,pitch,y,pris,x,pris,x,22
roll,z,pitch,y,pitch,x,pitch,y,pitch,x,pris,x,23
roll,z,pitch,y,pitch,x,pitch,z,pris,x,pris,x,24
roll,z,pitch,y,pitch,x,pitch,z,pitch,x,pris,x,25
roll,z,pitch,y,pitch,x,pitch,x,pris,x,pris,x,26
roll,z,pitch,y,pitch,x,pitch,x,pitch,x,pris,x,27
roll,z,pitch,y,pitch,x,pitch,y,roll,x,pris,y,28
roll,z,pitch,y,pitch,x,pitch,y,pris,x,pris,y,29
roll,z,pitch,y,pitch,x,pitch,y,pitch,x,pris,y,30
roll,z,pitch,y,pitch,x,pitch,z,roll,x,pris,y,31
roll,z,pitch,y,pitch,x,pitch,z,pris,x,pris,y,32
roll,z,pitch,y,pitch,x,pitch,z,pitch,x,pris,y,33
roll,z,pitch,y,pitch,x,pitch,x,roll,x,pris,y,34
roll,z,pitch,y,pitch,x,pitch,x,pris,x,pris,y,35
