,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
0,_roll_z_0_1_pris_y_0_7_pitch_y_0_3_pris_y_0_1_pitch_z_0_5_pitch_z_0_1,1,1.044903039932251,False,,,,,,,,
1,_roll_z_0_1_pris_y_0_7_pitch_y_0_3_pris_y_0_1_pitch_z_0_5_pitch_z_0_1,2,1.0441110134124756,False,,,,,,,,
2,_roll_z_0_1_pris_y_0_7_pitch_y_0_3_pris_y_0_1_pitch_z_0_5_pitch_z_0_1,3,1.043536901473999,False,,,,,,,,
3,_roll_z_0_1_pris_y_0_7_pitch_y_0_3_pris_y_0_1_pitch_z_0_5_pitch_z_0_1,4,1.1191520690917969,False,,,,,,,,
4,_roll_z_0_1_pris_y_0_7_pitch_y_0_3_pris_y_0_1_pitch_z_0_5_pitch_z_0_1,5,1.233747959136963,False,,,,,,,,
5,_roll_z_0_1_pris_y_0_7_pitch_y_0_3_pris_y_0_1_pitch_z_0_5_pitch_z_0_1,6,1.0210020542144775,False,,,,,,,,
6,_roll_z_0_1_pris_y_0_7_pitch_y_0_3_pris_y_0_1_pitch_z_0_5_pitch_z_0_1,7,1.0328330993652344,False,,,,,,,,
7,_roll_z_0_1_pris_y_0_7_pitch_y_0_3_pris_y_0_1_pitch_z_0_5_pitch_z_0_1,8,1.0282340049743652,False,,,,,,,,
8,_roll_z_0_1_pris_y_0_7_pitch_y_0_3_pris_y_0_1_pitch_z_0_5_pitch_z_0_1,9,1.0233280658721924,False,,,,,,,,
9,_roll_z_0_1_pris_y_0_7_pitch_y_0_3_pris_y_0_1_pitch_z_0_5_pitch_z_0_1,10,1.0243401527404785,False,,,,,,,,
0,_roll_z_0_1_pitch_y_0_3_pris_z_0_1_pris_x_0_7_pitch_x_0_3_pitch_z_0_1,1,4.550192832946777,False,,,,,,,,
1,_roll_z_0_1_pitch_y_0_3_pris_z_0_1_pris_x_0_7_pitch_x_0_3_pitch_z_0_1,2,6.953178882598877,False,,,,,,,,
2,_roll_z_0_1_pitch_y_0_3_pris_z_0_1_pris_x_0_7_pitch_x_0_3_pitch_z_0_1,3,1.935945987701416,False,,,,,,,,
3,_roll_z_0_1_pitch_y_0_3_pris_z_0_1_pris_x_0_7_pitch_x_0_3_pitch_z_0_1,4,2.1255080699920654,False,,,,,,,,
4,_roll_z_0_1_pitch_y_0_3_pris_z_0_1_pris_x_0_7_pitch_x_0_3_pitch_z_0_1,5,2.337272882461548,False,,,,,,,,
