,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
0,_roll_z_0_1_roll_y_0_5_pris_y_0_3_roll_y_0_3_pitch_y_0_5,,,,,,,,,,,
1,_roll_z_0_1_pris_y_0_3_roll_y_0_5_pitch_y_0_1_roll_y_0_7,,,,,,,,,,,
2,_roll_z_0_1_roll_y_0_7_pris_z_0_1_pris_y_0_3_roll_y_0_7,,,,,,,,,,,
3,_roll_z_0_1_roll_y_0_1_pris_y_0_5_roll_y_0_5_pitch_y_0_7,,,,,,,,,,,
4,_roll_z_0_1_pitch_y_0_5_roll_y_0_1_pris_y_0_3_roll_z_0_7,,,,,,,,,,,
5,_roll_z_0_1_pris_y_0_7_roll_y_0_1_pitch_y_0_1_pitch_y_0_5,,,,,,,,,,,
6,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pris_y_0_1_roll_x_0_7,,,,,,,,,,,
7,_roll_z_0_1_pris_y_0_7_roll_y_0_3_pitch_y_0_1_roll_x_0_7,,,,,,,,,,,
8,_roll_z_0_1_pitch_y_0_7_pris_x_0_1_pris_x_0_3_roll_z_0_7,,,,,,,,,,,
9,_roll_z_0_1_roll_y_0_1_pris_y_0_7_pitch_y_0_3_roll_x_0_7,,,,,,,,,,,
10,_roll_z_0_1_pris_y_0_3_pitch_y_0_3_roll_y_0_3_pitch_y_0_7,,,,,,,,,,,
11,_roll_z_0_1_pris_y_0_1_roll_y_0_1_pitch_y_0_7_pitch_y_0_5,,,,,,,,,,,
12,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_z_0_1_roll_x_0_7,,,,,,,,,,,
13,_roll_z_0_1_roll_y_0_1_pris_y_0_5_roll_z_0_7_roll_y_0_5,,,,,,,,,,,
14,_roll_z_0_1_pris_y_0_3_roll_z_0_5_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
15,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pris_y_0_1_roll_y_0_7,,,,,,,,,,,
16,_roll_z_0_1_roll_y_0_3_pris_y_0_1_roll_z_0_3_pitch_y_0_7,,,,,,,,,,,
17,_roll_z_0_1_roll_y_0_7_pitch_y_0_1_pitch_z_0_7_roll_y_0_3,,,,,,,,,,,
18,_roll_z_0_1_roll_y_0_5_pris_y_0_3_roll_z_0_3_pitch_y_0_7,,,,,,,,,,,
19,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_z_0_1_roll_y_0_7,,,,,,,,,,,
20,_roll_z_0_1_roll_y_0_5_pris_y_0_3_pitch_y_0_3_roll_y_0_7,,,,,,,,,,,
21,_roll_z_0_1_pris_y_0_5_roll_y_0_7_roll_y_0_1_pitch_y_0_5,,,,,,,,,,,
22,_roll_z_0_1_roll_y_0_5_pris_y_0_5_roll_x_0_1_pitch_y_0_7,,,,,,,,,,,
23,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_y_0_1_roll_y_0_7,,,,,,,,,,,
24,_roll_z_0_1_roll_y_0_3_pris_y_0_1_pitch_x_0_5_roll_x_0_5,,,,,,,,,,,
25,_roll_z_0_1_pris_y_0_1_roll_y_0_7_pris_y_0_1_roll_y_0_5,,,,,,,,,,,
26,_roll_z_0_1_pris_y_0_1_roll_x_0_3_roll_y_0_7_pitch_y_0_5,,,,,,,,,,,
27,_roll_z_0_1_roll_y_0_1_pris_y_0_5_pitch_z_0_1_roll_y_0_7,,,,,,,,,,,
28,_roll_z_0_1_roll_y_0_1_pitch_y_0_3_pris_y_0_7_roll_y_0_7,,,,,,,,,,,
29,_roll_z_0_1_roll_y_0_1_pris_y_0_7_pitch_x_0_1_roll_z_0_7,,,,,,,,,,,
30,_roll_z_0_1_pris_y_0_5_roll_z_0_1_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
31,_roll_z_0_1_roll_y_0_1_pris_y_0_3_roll_z_0_3_pitch_y_0_7,,,,,,,,,,,
32,_roll_z_0_1_pris_y_0_3_roll_y_0_7_pris_z_0_1_roll_y_0_7,,,,,,,,,,,
33,_roll_z_0_1_pris_y_0_1_roll_y_0_7_pitch_y_0_1_roll_x_0_7,,,,,,,,,,,
34,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_y_0_3_roll_z_0_7,,,,,,,,,,,
35,_roll_z_0_1_pris_z_0_1_pris_y_0_5_roll_y_0_3_pris_z_0_7,,,,,,,,,,,
36,_roll_z_0_1_pris_y_0_1_pitch_y_0_1_roll_y_0_7_pris_z_0_7,,,,,,,,,,,
37,_roll_z_0_1_pris_y_0_7_roll_y_0_3_pitch_y_0_1_roll_z_0_7,,,,,,,,,,,
38,_roll_z_0_1_pris_y_0_5_roll_y_0_1_pitch_y_0_3_roll_z_0_7,,,,,,,,,,,
39,_roll_z_0_1_roll_y_0_3_pris_y_0_5_roll_y_0_1_roll_y_0_5,,,,,,,,,,,
40,_roll_z_0_1_roll_y_0_7_pris_y_0_3_pitch_x_0_1_roll_y_0_7,,,,,,,,,,,
41,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_y_0_1_pitch_y_0_7,,,,,,,,,,,
42,_roll_z_0_1_pris_y_0_1_roll_y_0_3_roll_y_0_5_pitch_y_0_7,,,,,,,,,,,
43,_roll_z_0_1_roll_y_0_7_pris_y_0_3_pitch_x_0_1_pitch_y_0_7,,,,,,,,,,,
44,_roll_z_0_1_roll_y_0_1_pris_y_0_1_pitch_x_0_7_roll_y_0_7,,,,,,,,,,,
45,_roll_z_0_1_pris_y_0_3_roll_z_0_3_roll_y_0_3_pitch_y_0_7,,,,,,,,,,,
46,_roll_z_0_1_pris_y_0_1_roll_y_0_7_roll_y_0_1_pris_z_0_5,,,,,,,,,,,
47,_roll_z_0_1_pris_y_0_1_roll_y_0_5_pris_y_0_1_roll_y_0_7,,,,,,,,,,,
48,_roll_z_0_1_roll_y_0_5_pris_y_0_5_pitch_y_0_1_roll_x_0_3,,,,,,,,,,,
49,_roll_z_0_1_pris_z_0_3_pris_y_0_3_roll_y_0_3_pitch_y_0_7,,,,,,,,,,,
50,_roll_z_0_1_roll_y_0_5_pris_y_0_5_pitch_x_0_1_roll_z_0_7,,,,,,,,,,,
51,_roll_z_0_1_roll_y_0_1_pris_y_0_7_pitch_y_0_1_roll_y_0_7,,,,,,,,,,,
52,_roll_z_0_1_pris_z_0_1_roll_y_0_5_pris_y_0_5_roll_z_0_7,,,,,,,,,,,
53,_roll_z_0_1_roll_y_0_1_pitch_y_0_5_pris_y_0_1_roll_z_0_7,,,,,,,,,,,
54,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_x_0_1_roll_y_0_7,,,,,,,,,,,
55,_roll_z_0_1_pris_y_0_7_pris_x_0_1_roll_y_0_3_pitch_y_0_7,,,,,,,,,,,
56,_roll_z_0_1_pris_y_0_5_roll_y_0_1_pitch_y_0_1_pitch_x_0_7,,,,,,,,,,,
57,_roll_z_0_1_roll_y_0_1_pris_y_0_7_pris_x_0_3_roll_y_0_7,,,,,,,,,,,
58,_roll_z_0_1_pris_y_0_1_roll_y_0_5_pitch_y_0_1_pris_y_0_7,,,,,,,,,,,
59,_roll_z_0_1_pris_y_0_1_roll_y_0_5_roll_y_0_5_pitch_y_0_7,,,,,,,,,,,
60,_roll_z_0_1_roll_y_0_5_pris_y_0_1_pitch_x_0_5_roll_y_0_7,,,,,,,,,,,
61,_roll_z_0_1_roll_y_0_1_pris_y_0_7_roll_x_0_3_pitch_y_0_5,,,,,,,,,,,
62,_roll_z_0_1_roll_y_0_3_pris_y_0_3_roll_y_0_5_pitch_y_0_7,,,,,,,,,,,
63,_roll_z_0_1_roll_y_0_5_pris_y_0_5_pitch_y_0_1_roll_x_0_7,,,,,,,,,,,
64,_roll_z_0_1_roll_y_0_1_pitch_y_0_3_pris_y_0_5_roll_z_0_7,,,,,,,,,,,
65,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_x_0_3_roll_x_0_7,,,,,,,,,,,
66,_roll_z_0_1_roll_y_0_1_pitch_y_0_3_pris_x_0_7_roll_x_0_7,,,,,,,,,,,
67,_roll_z_0_1_pris_y_0_3_roll_y_0_7_pris_z_0_1_roll_y_0_5,,,,,,,,,,,
68,_roll_z_0_1_roll_y_0_1_pris_y_0_7_roll_y_0_1_roll_y_0_5,,,,,,,,,,,
69,_roll_z_0_1_roll_y_0_1_pris_y_0_7_pitch_x_0_1_roll_x_0_7,,,,,,,,,,,
70,_roll_z_0_1_pris_y_0_5_roll_y_0_1_pitch_y_0_1_roll_x_0_7,,,,,,,,,,,
71,_roll_z_0_1_pris_y_0_5_roll_z_0_3_roll_y_0_3_pitch_y_0_5,,,,,,,,,,,
72,_roll_z_0_1_pris_y_0_3_roll_z_0_3_roll_y_0_1_pris_y_0_7,,,,,,,,,,,
73,_roll_z_0_1_roll_y_0_1_pris_y_0_7_pitch_y_0_1_pitch_y_0_7,,,,,,,,,,,
74,_roll_z_0_1_roll_y_0_3_pris_y_0_7_roll_x_0_7_pris_z_0_1,,,,,,,,,,,
75,_roll_z_0_1_roll_y_0_1_pris_y_0_7_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
76,_roll_z_0_1_pris_y_0_7_roll_z_0_1_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
77,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_z_0_1_roll_x_0_5,,,,,,,,,,,
78,_roll_z_0_1_roll_y_0_1_pris_y_0_7_roll_y_0_3_pitch_y_0_7,,,,,,,,,,,
79,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pris_y_0_1_roll_z_0_7,,,,,,,,,,,
80,_roll_z_0_1_pris_y_0_3_pris_x_0_1_roll_y_0_7_pitch_y_0_7,,,,,,,,,,,
81,_roll_z_0_1_roll_y_0_1_pris_y_0_5_pitch_x_0_1_pitch_z_0_7,,,,,,,,,,,
82,_roll_z_0_1_pris_y_0_7_pris_x_0_1_pris_x_0_3_roll_y_0_7,,,,,,,,,,,
83,_roll_z_0_1_roll_y_0_3_pris_y_0_5_roll_y_0_1_roll_y_0_7,,,,,,,,,,,
84,_roll_z_0_1_pris_y_0_1_pris_x_0_3_roll_y_0_7_pitch_y_0_7,,,,,,,,,,,
85,_roll_z_0_1_pris_y_0_3_pitch_y_0_5_pris_z_0_3_roll_y_0_7,,,,,,,,,,,
86,_roll_z_0_1_roll_y_0_7_pris_y_0_3_roll_z_0_1_pitch_y_0_7,,,,,,,,,,,
87,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_y_0_1_roll_y_0_5,,,,,,,,,,,
88,_roll_z_0_1_pris_y_0_5_roll_y_0_1_pitch_y_0_1_pitch_y_0_7,,,,,,,,,,,
89,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_x_0_1_pitch_z_0_5,,,,,,,,,,,
90,_roll_z_0_1_roll_y_0_7_pris_y_0_3_pitch_z_0_1_roll_z_0_7,,,,,,,,,,,
91,_roll_z_0_1_roll_y_0_3_pris_z_0_3_pris_y_0_5_roll_x_0_7,,,,,,,,,,,
92,_roll_z_0_1_pris_y_0_1_roll_y_0_7_pitch_y_0_1_pitch_z_0_7,,,,,,,,,,,
93,_roll_z_0_1_pris_y_0_3_roll_z_0_5_roll_y_0_3_pitch_y_0_5,,,,,,,,,,,
94,_roll_z_0_1_pitch_y_0_7_pris_y_0_1_roll_y_0_3_pitch_y_0_5,,,,,,,,,,,
95,_roll_z_0_1_roll_y_0_3_pris_y_0_5_roll_x_0_1_pitch_y_0_7,,,,,,,,,,,
96,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pris_x_0_1_roll_y_0_7,,,,,,,,,,,
97,_roll_z_0_1_roll_y_0_3_pris_y_0_7_roll_x_0_1_pitch_y_0_7,,,,,,,,,,,
98,_roll_z_0_1_roll_y_0_5_pris_y_0_1_roll_z_0_1_pitch_y_0_7,,,,,,,,,,,
99,_roll_z_0_1_pris_y_0_1_roll_y_0_7_pitch_y_0_1_pris_y_0_7,,,,,,,,,,,
100,_roll_z_0_1_pris_y_0_1_roll_z_0_3_roll_y_0_7_pitch_y_0_5,,,,,,,,,,,
101,_roll_z_0_1_pris_z_0_5_pris_y_0_1_roll_y_0_3_pitch_y_0_5,,,,,,,,,,,
102,_roll_z_0_1_pris_y_0_1_roll_y_0_5_pitch_y_0_3_roll_x_0_7,,,,,,,,,,,
103,_roll_z_0_1_pris_y_0_1_roll_y_0_3_pris_y_0_3_roll_y_0_7,,,,,,,,,,,
104,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_x_0_1_roll_y_0_5,,,,,,,,,,,
105,_roll_z_0_1_pris_y_0_1_pitch_y_0_3_roll_y_0_5_pitch_y_0_7,,,,,,,,,,,
106,_roll_z_0_1_pris_y_0_3_roll_y_0_1_pitch_y_0_3_roll_z_0_7,,,,,,,,,,,
107,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_y_0_1_roll_x_0_7,,,,,,,,,,,
108,_roll_z_0_1_roll_y_0_3_pris_y_0_3_pitch_x_0_3_roll_x_0_7,,,,,,,,,,,
109,_roll_z_0_1_roll_y_0_3_pris_y_0_1_pitch_x_0_5_roll_y_0_7,,,,,,,,,,,
110,_roll_z_0_1_roll_y_0_5_pris_y_0_5_pitch_y_0_1_roll_z_0_7,,,,,,,,,,,
111,_roll_z_0_1_pris_y_0_5_roll_x_0_1_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
112,_roll_z_0_1_roll_y_0_1_pris_z_0_3_pris_y_0_7_roll_y_0_7,,,,,,,,,,,
113,_roll_z_0_1_roll_y_0_5_pris_y_0_3_pitch_y_0_3_roll_x_0_7,,,,,,,,,,,
114,_roll_z_0_1_pris_y_0_1_pitch_y_0_7_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
115,_roll_z_0_1_roll_y_0_1_pris_y_0_7_pris_y_0_1_roll_z_0_7,,,,,,,,,,,
116,_roll_z_0_1_pitch_y_0_5_pris_x_0_1_pris_x_0_3_roll_z_0_5,,,,,,,,,,,
117,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_y_0_3_roll_z_0_5,,,,,,,,,,,
118,_roll_z_0_1_pris_y_0_3_roll_y_0_7_pris_y_0_1_roll_x_0_7,,,,,,,,,,,
119,_roll_z_0_1_pris_y_0_1_roll_y_0_7_pitch_y_0_1_pitch_y_0_7,,,,,,,,,,,
120,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_x_0_1_roll_x_0_7,,,,,,,,,,,
121,_roll_z_0_1_roll_y_0_1_pris_y_0_1_pitch_x_0_7_roll_z_0_7,,,,,,,,,,,
122,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_x_0_1_roll_x_0_7,,,,,,,,,,,
123,_roll_z_0_1_roll_y_0_3_pris_y_0_1_roll_z_0_7_roll_y_0_7,,,,,,,,,,,
124,_roll_z_0_1_pris_y_0_7_pitch_y_0_3_roll_z_0_1_roll_y_0_7,,,,,,,,,,,
125,_roll_z_0_1_roll_y_0_1_pris_y_0_7_pitch_y_0_1_pitch_z_0_7,,,,,,,,,,,
126,_roll_z_0_1_pris_y_0_3_roll_y_0_5_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
127,_roll_z_0_1_pris_y_0_3_roll_y_0_3_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
128,_roll_z_0_1_roll_y_0_7_pris_y_0_1_roll_z_0_1_pitch_y_0_7,,,,,,,,,,,
129,_roll_z_0_1_pris_y_0_1_roll_y_0_5_roll_y_0_1_pris_z_0_7,,,,,,,,,,,
130,_roll_z_0_1_pitch_y_0_7_pris_y_0_1_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
131,_roll_z_0_1_pris_y_0_3_roll_y_0_3_pitch_y_0_7_pitch_x_0_1,,,,,,,,,,,
132,_roll_z_0_1_pris_z_0_5_pris_y_0_1_roll_y_0_5_pitch_y_0_7,,,,,,,,,,,
133,_roll_z_0_1_pris_y_0_3_roll_y_0_3_pitch_y_0_3_pitch_x_0_7,,,,,,,,,,,
134,_roll_z_0_1_roll_y_0_3_pitch_y_0_7_pris_y_0_1_pitch_x_0_7,,,,,,,,,,,
135,_roll_z_0_1_pris_y_0_5_roll_y_0_7_pitch_y_0_1_roll_z_0_5,,,,,,,,,,,
136,_roll_z_0_1_roll_y_0_5_pris_y_0_5_pitch_y_0_1_pitch_z_0_7,,,,,,,,,,,
137,_roll_z_0_1_roll_y_0_3_pitch_y_0_1_pris_y_0_5_roll_x_0_7,,,,,,,,,,,
138,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_z_0_3_roll_x_0_7,,,,,,,,,,,
139,_roll_z_0_1_pris_y_0_1_pitch_x_0_7_roll_z_0_5_pitch_y_0_5,,,,,,,,,,,
140,_roll_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pitch_y_0_7,,,,,,,,,,,
