,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
0,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_5_roll_y_0_7,1,1.0335497856140137,False,,,,,,,,
1,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_5_roll_y_0_7,2,1.028291940689087,False,,,,,,,,
2,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_5_roll_y_0_7,3,1.034451961517334,False,,,,,,,,
3,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_5_roll_y_0_7,4,1.027940034866333,False,,,,,,,,
4,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_5_roll_y_0_7,5,1.0199389457702637,False,,,,,,,,
5,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_5_roll_y_0_7,6,1.0270280838012695,False,,,,,,,,
6,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_5_roll_y_0_7,7,1.0155749320983887,False,,,,,,,,
7,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_5_roll_y_0_7,8,1.0235350131988525,False,,,,,,,,
8,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_5_roll_y_0_7,9,1.0248830318450928,False,,,,,,,,
9,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_5_roll_y_0_7,10,1.0254058837890625,False,,,,,,,,
0,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pitch_x_0_7,1,1.0058648586273193,False,,,,,,,,
1,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pitch_x_0_7,2,1.0121309757232666,False,,,,,,,,
2,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pitch_x_0_7,3,1.0209879875183105,False,,,,,,,,
3,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pitch_x_0_7,4,4.334709167480469,False,,,,,,,,
4,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pitch_x_0_7,5,1.018359899520874,False,,,,,,,,
5,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pitch_x_0_7,6,2.5305469036102295,False,,,,,,,,
6,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pitch_x_0_7,7,7.244574069976807,False,,,,,,,,
7,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pitch_x_0_7,8,6.640506029129028,False,,,,,,,,
8,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pitch_x_0_7,9,1.0168840885162354,False,,,,,,,,
9,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pitch_x_0_7,10,7.853309869766235,False,,,,,,,,
0,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pris_y_0_3,1,1.0286271572113037,False,,,,,,,,
1,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pris_y_0_3,2,1.0233969688415527,False,,,,,,,,
2,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pris_y_0_3,3,1.0261070728302002,False,,,,,,,,
3,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pris_y_0_3,4,1.0316860675811768,False,,,,,,,,
4,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pris_y_0_3,5,1.0206570625305176,False,,,,,,,,
5,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pris_y_0_3,6,4.844449996948242,False,,,,,,,,
6,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pris_y_0_3,7,5.443190097808838,False,,,,,,,,
7,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pris_y_0_3,8,4.629719018936157,False,,,,,,,,
8,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pris_y_0_3,9,2.4322638511657715,False,,,,,,,,
9,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pris_y_0_3,10,3.0399699211120605,False,,,,,,,,
0,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_roll_z_0_7,1,1.0260729789733887,False,,,,,,,,
1,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_roll_z_0_7,2,1.0062317848205566,False,,,,,,,,
2,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_roll_z_0_7,3,1.0073730945587158,False,,,,,,,,
3,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_roll_z_0_7,4,1.0319101810455322,False,,,,,,,,
4,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_roll_z_0_7,5,1.0049560070037842,False,,,,,,,,
5,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_roll_z_0_7,6,1.034623146057129,False,,,,,,,,
6,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_roll_z_0_7,7,1.0307068824768066,False,,,,,,,,
7,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_roll_z_0_7,8,1.0228309631347656,False,,,,,,,,
8,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_roll_z_0_7,9,1.0059499740600586,False,,,,,,,,
9,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_roll_z_0_7,10,1.0080411434173584,False,,,,,,,,
0,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_y_0_5_pris_z_0_7,1,1.030522108078003,False,,,,,,,,
1,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_y_0_5_pris_z_0_7,2,1.0331158638000488,False,,,,,,,,
2,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_y_0_5_pris_z_0_7,3,1.0249879360198975,False,,,,,,,,
3,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_y_0_5_pris_z_0_7,4,1.013240098953247,False,,,,,,,,
4,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_y_0_5_pris_z_0_7,5,1.0035200119018555,False,,,,,,,,
5,_roll_z_0_1_pris_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_y_0_5_pris_z_0_7,6,1.0317120552062988,False,,,,,,,,
