,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
0,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_7_roll_x_0_7_pitch_y_0_1,1,0.03499603271484375,False,,,,,,,,
1,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_7_roll_x_0_7_pitch_y_0_1,2,0.0236968994140625,False,,,,,,,,
2,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_7_roll_x_0_7_pitch_y_0_1,3,0.02938985824584961,False,,,,,,,,
3,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_7_roll_x_0_7_pitch_y_0_1,4,0.028961181640625,False,,,,,,,,
4,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_7_roll_x_0_7_pitch_y_0_1,5,0.01145315170288086,False,,,,,,,,
5,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_7_roll_x_0_7_pitch_y_0_1,6,0.015242815017700195,False,,,,,,,,
6,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_7_roll_x_0_7_pitch_y_0_1,7,0.011924028396606445,False,,,,,,,,
7,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_7_roll_x_0_7_pitch_y_0_1,8,0.02201080322265625,False,,,,,,,,
8,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_7_roll_x_0_7_pitch_y_0_1,9,0.032095909118652344,False,,,,,,,,
9,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_7_roll_x_0_7_pitch_y_0_1,10,0.016807079315185547,False,,,,,,,,
0,_roll_z_0_1_pitch_y_0_1_pitch_z_0_3_pitch_x_0_1_pitch_x_0_7_roll_y_0_1,1,1.0347518920898438,False,,,,,,,,
1,_roll_z_0_1_pitch_y_0_1_pitch_z_0_3_pitch_x_0_1_pitch_x_0_7_roll_y_0_1,2,5.4448630809783936,False,,,,,,,,
2,_roll_z_0_1_pitch_y_0_1_pitch_z_0_3_pitch_x_0_1_pitch_x_0_7_roll_y_0_1,3,2.323592185974121,False,,,,,,,,
3,_roll_z_0_1_pitch_y_0_1_pitch_z_0_3_pitch_x_0_1_pitch_x_0_7_roll_y_0_1,4,2.8309268951416016,False,,,,,,,,
4,_roll_z_0_1_pitch_y_0_1_pitch_z_0_3_pitch_x_0_1_pitch_x_0_7_roll_y_0_1,5,7.257852077484131,False,,,,,,,,
5,_roll_z_0_1_pitch_y_0_1_pitch_z_0_3_pitch_x_0_1_pitch_x_0_7_roll_y_0_1,6,2.6333467960357666,False,,,,,,,,
6,_roll_z_0_1_pitch_y_0_1_pitch_z_0_3_pitch_x_0_1_pitch_x_0_7_roll_y_0_1,7,2.930346965789795,False,,,,,,,,
7,_roll_z_0_1_pitch_y_0_1_pitch_z_0_3_pitch_x_0_1_pitch_x_0_7_roll_y_0_1,8,3.419835090637207,False,,,,,,,,
