,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
0,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_5,1,0.012998104095458984,False,,,,,,,,
1,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_5,2,0.024497032165527344,False,,,,,,,,
2,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_5,3,0.02980184555053711,False,,,,,,,,
3,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_5,4,0.030879974365234375,False,,,,,,,,
4,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_5,5,0.01925802230834961,False,,,,,,,,
5,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_5,6,0.012238025665283203,False,,,,,,,,
6,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_5,7,0.030205965042114258,False,,,,,,,,
7,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_5,8,0.030085086822509766,False,,,,,,,,
8,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_5,9,0.029510974884033203,False,,,,,,,,
9,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_5,10,0.004502058029174805,False,,,,,,,,
0,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_7,1,1.026543140411377,False,,,,,,,,
1,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_7,2,1.0192029476165771,False,,,,,,,,
2,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_7,3,1.0113840103149414,False,,,,,,,,
3,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_7,4,1.0139968395233154,False,,,,,,,,
4,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_7,5,1.0222089290618896,False,,,,,,,,
5,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_7,6,1.0126440525054932,False,,,,,,,,
6,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_7,7,1.0166559219360352,False,,,,,,,,
7,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_7,8,1.0158398151397705,False,,,,,,,,
8,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_7,9,1.0191068649291992,False,,,,,,,,
9,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_5_roll_y_0_7,10,1.0213911533355713,False,,,,,,,,
