,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
0,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,1,3.4221651554107666,True,0.426,"[[ 0.00000000e+00  1.17516852e-01  4.66523511e-01 -1.74606210e-01
   9.30566226e-02]
 [ 1.00000000e+00  5.08393733e-12  1.04011378e+00  1.03295337e-01
  -5.86540183e-02]
 [ 0.00000000e+00  1.03825054e+00 -8.00447533e-03 -6.25788378e-01
   4.13678111e-04]
 [ 0.00000000e+00 -3.46944695e-18  1.71551855e-02  5.33228909e-01
   5.33228909e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89591701e-12  8.45921525e-01
   8.45921525e-01]
 [ 0.00000000e+00  4.89663865e-12  9.99852839e-01 -9.14898722e-03
  -9.14898722e-03]]",[ 0.54745353 -0.01715603  1.00829075  0.44872157 -2.03779183  0.56862615],0,[0.009 0.    0.013 0.003 0.053],0.053,0.069,0.078
1,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,2,2.2363059520721436,True,0.638,"[[ 0.00000000e+00  5.89265181e-02  7.66720862e-01 -9.80571006e-02
   7.14079406e-02]
 [ 1.00000000e+00  4.23864489e-12  8.64680604e-01  1.25847178e-01
  -8.36714163e-02]
 [ 0.00000000e+00  8.65623378e-01  1.10900229e-02 -6.46062703e-01
  -1.04152044e-05]
 [ 0.00000000e+00  0.00000000e+00 -1.44627120e-02  7.60603885e-01
   7.60603885e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89613905e-12  6.49123021e-01
   6.49123021e-01]
 [ 0.00000000e+00  4.89663865e-12  9.99895410e-01  1.10015456e-02
   1.10015456e-02]]",[ 0.84875719  0.01446322  0.70643099  0.40441183 -1.96572468  0.86422533],0,[0.002 0.    0.006 0.002 0.049],0.049,0.057,0.059000000000000004
2,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,3,1.433716058731079,True,0.643,"[[ 0.00000000e+00  1.19917391e-02  7.66622313e-01 -6.89412331e-02
   7.26905054e-02]
 [ 1.00000000e+00  4.35043234e-12  8.88186310e-01  8.92003256e-02
  -8.25593313e-02]
 [ 0.00000000e+00  8.88452805e-01  1.10928748e-02 -6.63438508e-01
   2.17330081e-04]
 [ 0.00000000e+00  0.00000000e+00 -1.44682896e-02  7.50482407e-01
   7.50482407e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89613905e-12  6.60801204e-01
   6.60801204e-01]
 [ 0.00000000e+00  4.89663865e-12  9.99895329e-01  1.08593335e-02
   1.08593335e-02]]",[ 0.86717178  0.01446879  0.72188573  0.33303919 -1.89624999  0.83887975],0,[0.003 0.    0.007 0.001 0.046],0.046,0.054,0.056999999999999995
3,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,4,2.034359931945801,True,0.843,"[[ 0.00000000e+00 -1.39590765e-01  9.57276188e-01  2.49730243e-02
   5.48128009e-02]
 [ 1.00000000e+00  3.59354999e-12  7.34800086e-01 -3.51805874e-02
  -9.53674143e-02]
 [ 0.00000000e+00  7.33864344e-01  6.53446246e-03 -6.95986028e-01
   7.83039177e-04]
 [ 0.00000000e+00  0.00000000e+00 -6.82594043e-03  8.66962285e-01
   8.66962285e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89636109e-12  4.98338614e-01
   4.98338614e-01]
 [ 0.00000000e+00  4.89674967e-12  9.99976703e-01  5.91797078e-03
   5.91797078e-03]]",[ 1.02995658  0.00682599  0.52168143  0.09933621 -1.67384956  1.04745539],0,[0.017 0.    0.003 0.    0.035],0.035,0.038000000000000006,0.05500000000000001
4,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,5,2.136518955230713,True,0.617,"[[ 0.00000000e+00 -1.63893294e-01  7.28319546e-01  4.97381227e-02
   7.83113849e-02]
 [ 1.00000000e+00  4.73267788e-12  9.66208010e-01 -5.03491709e-02
  -7.72466450e-02]
 [ 0.00000000e+00  9.66515648e-01 -1.35961887e-03 -6.99431023e-01
  -5.31820600e-04]
 [ 0.00000000e+00  0.00000000e+00  1.86678568e-03  7.02245319e-01
   7.02245319e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89666662e-12  7.11933841e-01
   7.11933841e-01]
 [ 0.00000000e+00  4.89663865e-12  9.99998258e-01 -1.31094379e-03
  -1.31094379e-03]]",[ 0.85589978 -0.00186679  0.79224817  0.05474454 -1.62203514  0.78542163],0,[0.002 0.    0.008 0.    0.033],0.033,0.041,0.043000000000000003
5,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,6,1.733259916305542,True,0.696,"[[ 0.00000000e+00 -2.96589318e-01  8.09897996e-01  1.31280706e-01
   7.09369977e-02]
 [ 1.00000000e+00  4.36343543e-12  8.92725986e-01 -1.51204576e-01
  -8.40709343e-02]
 [ 0.00000000e+00  8.91158885e-01  4.31387274e-03 -6.94012675e-01
   1.42718607e-04]
 [ 0.00000000e+00  8.67361738e-19 -5.32636403e-03  7.64272125e-01
   7.64272125e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89663865e-12  6.44881033e-01
   6.44881033e-01]
 [ 0.00000000e+00  4.89636109e-12  9.99985815e-01  4.07084930e-03
   4.07084930e-03]]",[ 0.89829538  0.00532639  0.70086761 -0.12581556 -1.44284331  0.86725522],0,[0.005 0.    0.006 0.    0.026],0.026,0.032,0.037
6,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,7,2.027750015258789,True,0.868,"[[ 0.00000000e+00 -3.53827362e-01  9.75577173e-01  1.16165395e-01
   5.06796212e-02]
 [ 1.00000000e+00  3.37977644e-12  6.86756564e-01 -2.36536527e-01
  -9.76283471e-02]
 [ 0.00000000e+00  6.90223781e-01 -9.47063317e-03 -6.83477529e-01
  -5.30875782e-04]
 [ 0.00000000e+00  0.00000000e+00  9.70726582e-03  8.87488667e-01
   8.87488667e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89599160e-12  4.60748999e-01
   4.60748999e-01]
 [ 0.00000000e+00  4.89663865e-12  9.99952883e-01 -8.61549433e-03
  -8.61549433e-03]]",[ 1.06896012 -0.00970742  0.47883893 -0.22549307 -1.34494971  1.09490152],0,[0.023 0.    0.003 0.001 0.023],0.023,0.027,0.05
7,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,8,2.0194859504699707,True,0.679,"[[ 0.00000000e+00 -4.07218097e-01  7.96330738e-01  2.01767851e-01
   7.05697269e-02]
 [ 1.00000000e+00  4.26780262e-12  8.74611278e-01 -2.35300989e-01
  -8.43789332e-02]
 [ 0.00000000e+00  8.71617617e-01  5.90118094e-03 -6.70496958e-01
   3.30579930e-04]
 [ 0.00000000e+00  8.67361738e-19 -7.41026139e-03  7.67061323e-01
   7.67061323e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89647147e-12  6.41548608e-01
   6.41548608e-01]
 [ 0.00000000e+00  4.89641661e-12  9.99972544e-01  5.68428097e-03
   5.68428097e-03]]",[ 0.89520618  0.00741033  0.69651539 -0.28490764 -1.28413988  0.86775622],0,[0.005 0.    0.006 0.001 0.021],0.021,0.028,0.033
8,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,9,1.9372470378875732,True,0.519,"[[ 0.00000000e+00 -4.38950229e-01  6.23607872e-01  2.63888557e-01
   8.41909077e-02]
 [ 1.00000000e+00  4.84620843e-12  9.90270493e-01 -2.21137733e-01
  -7.07912158e-02]
 [ 0.00000000e+00  9.89678594e-01  8.42182423e-04 -6.58921208e-01
   7.03442076e-04]
 [ 0.00000000e+00 -2.16840434e-19 -1.35049876e-03  6.43565170e-01
   6.43565170e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89674718e-12  7.65390826e-01
   7.65390826e-01]
 [ 0.00000000e+00  4.89674967e-12  9.99999088e-01  8.69134760e-04
   8.69134760e-04]]",[ 0.84995824  0.0013505   0.87164839 -0.3402635  -1.23589414  0.70012924],0,[0.002 0.    0.01  0.001 0.019],0.019,0.03,0.032
9,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,10,2.5261991024017334,True,0.914,"[[ 0.00000000e+00 -4.78934133e-01  1.02867495e+00  1.33173949e-01
   3.65481023e-02]
 [ 1.00000000e+00  2.57865880e-12  5.31964700e-01 -3.57452132e-01
  -1.03750192e-01]
 [ 0.00000000e+00  5.26606213e-01  1.15815972e-02 -6.45578133e-01
  -3.65942236e-04]
 [ 0.00000000e+00  0.00000000e+00 -1.12580395e-02  9.43147341e-01
   9.43147341e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89652763e-12  3.32205263e-01
   3.32205263e-01]
 [ 0.00000000e+00  4.89674967e-12  9.99936626e-01  1.06186630e-02
   1.06186630e-02]]",[ 1.08827641  0.01125828  0.33864066 -0.39439992 -1.16932926  1.24130165],0,[0.025 0.    0.001 0.002 0.017],0.017,0.02,0.045000000000000005
