,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
0,_roll_z_0_1_pris_y_0_3_roll_y_0_1_pitch_y_0_5_pitch_x_0_5_roll_z_0_1,1,0.039724111557006836,False,,,,,,,,
1,_roll_z_0_1_pris_y_0_3_roll_y_0_1_pitch_y_0_5_pitch_x_0_5_roll_z_0_1,2,0.019541025161743164,False,,,,,,,,
2,_roll_z_0_1_pris_y_0_3_roll_y_0_1_pitch_y_0_5_pitch_x_0_5_roll_z_0_1,3,0.030633211135864258,False,,,,,,,,
3,_roll_z_0_1_pris_y_0_3_roll_y_0_1_pitch_y_0_5_pitch_x_0_5_roll_z_0_1,4,0.02832317352294922,False,,,,,,,,
4,_roll_z_0_1_pris_y_0_3_roll_y_0_1_pitch_y_0_5_pitch_x_0_5_roll_z_0_1,5,0.018735170364379883,False,,,,,,,,
5,_roll_z_0_1_pris_y_0_3_roll_y_0_1_pitch_y_0_5_pitch_x_0_5_roll_z_0_1,6,0.026726961135864258,False,,,,,,,,
6,_roll_z_0_1_pris_y_0_3_roll_y_0_1_pitch_y_0_5_pitch_x_0_5_roll_z_0_1,7,0.031414031982421875,False,,,,,,,,
7,_roll_z_0_1_pris_y_0_3_roll_y_0_1_pitch_y_0_5_pitch_x_0_5_roll_z_0_1,8,0.03434395790100098,False,,,,,,,,
8,_roll_z_0_1_pris_y_0_3_roll_y_0_1_pitch_y_0_5_pitch_x_0_5_roll_z_0_1,9,0.024812936782836914,False,,,,,,,,
9,_roll_z_0_1_pris_y_0_3_roll_y_0_1_pitch_y_0_5_pitch_x_0_5_roll_z_0_1,10,0.03313493728637695,False,,,,,,,,
0,_roll_z_0_1_roll_y_0_1_pris_y_0_1_pitch_y_0_7_roll_y_0_5_pris_z_0_3,1,0.012082099914550781,False,,,,,,,,
1,_roll_z_0_1_roll_y_0_1_pris_y_0_1_pitch_y_0_7_roll_y_0_5_pris_z_0_3,2,0.029484033584594727,False,,,,,,,,
2,_roll_z_0_1_roll_y_0_1_pris_y_0_1_pitch_y_0_7_roll_y_0_5_pris_z_0_3,3,0.03042292594909668,False,,,,,,,,
3,_roll_z_0_1_roll_y_0_1_pris_y_0_1_pitch_y_0_7_roll_y_0_5_pris_z_0_3,4,0.012053966522216797,False,,,,,,,,
4,_roll_z_0_1_roll_y_0_1_pris_y_0_1_pitch_y_0_7_roll_y_0_5_pris_z_0_3,5,0.030007123947143555,False,,,,,,,,
5,_roll_z_0_1_roll_y_0_1_pris_y_0_1_pitch_y_0_7_roll_y_0_5_pris_z_0_3,6,0.028834104537963867,False,,,,,,,,
6,_roll_z_0_1_roll_y_0_1_pris_y_0_1_pitch_y_0_7_roll_y_0_5_pris_z_0_3,7,0.030560970306396484,False,,,,,,,,
7,_roll_z_0_1_roll_y_0_1_pris_y_0_1_pitch_y_0_7_roll_y_0_5_pris_z_0_3,8,0.031126976013183594,False,,,,,,,,
8,_roll_z_0_1_roll_y_0_1_pris_y_0_1_pitch_y_0_7_roll_y_0_5_pris_z_0_3,9,0.012775897979736328,False,,,,,,,,
9,_roll_z_0_1_roll_y_0_1_pris_y_0_1_pitch_y_0_7_roll_y_0_5_pris_z_0_3,10,0.012825965881347656,False,,,,,,,,
0,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_x_0_3_pitch_x_0_1_roll_z_0_3,1,0.011204004287719727,False,,,,,,,,
1,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_x_0_3_pitch_x_0_1_roll_z_0_3,2,0.03026890754699707,False,,,,,,,,
2,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_x_0_3_pitch_x_0_1_roll_z_0_3,3,0.011636972427368164,False,,,,,,,,
3,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_x_0_3_pitch_x_0_1_roll_z_0_3,4,0.014664173126220703,False,,,,,,,,
4,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_x_0_3_pitch_x_0_1_roll_z_0_3,5,0.030102968215942383,False,,,,,,,,
5,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_x_0_3_pitch_x_0_1_roll_z_0_3,6,0.013422966003417969,False,,,,,,,,
6,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_x_0_3_pitch_x_0_1_roll_z_0_3,7,0.011546850204467773,False,,,,,,,,
7,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_x_0_3_pitch_x_0_1_roll_z_0_3,8,0.013411998748779297,False,,,,,,,,
8,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_x_0_3_pitch_x_0_1_roll_z_0_3,9,0.013507843017578125,False,,,,,,,,
9,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pitch_x_0_3_pitch_x_0_1_roll_z_0_3,10,0.013326883316040039,False,,,,,,,,
0,_roll_z_0_1_roll_y_0_5_pitch_y_0_3_pitch_x_0_7_pris_x_0_1_roll_z_0_3,1,0.032691001892089844,False,,,,,,,,
1,_roll_z_0_1_roll_y_0_5_pitch_y_0_3_pitch_x_0_7_pris_x_0_1_roll_z_0_3,2,0.028656959533691406,False,,,,,,,,
2,_roll_z_0_1_roll_y_0_5_pitch_y_0_3_pitch_x_0_7_pris_x_0_1_roll_z_0_3,3,0.028813838958740234,False,,,,,,,,
3,_roll_z_0_1_roll_y_0_5_pitch_y_0_3_pitch_x_0_7_pris_x_0_1_roll_z_0_3,4,0.030106067657470703,False,,,,,,,,
4,_roll_z_0_1_roll_y_0_5_pitch_y_0_3_pitch_x_0_7_pris_x_0_1_roll_z_0_3,5,0.028337955474853516,False,,,,,,,,
5,_roll_z_0_1_roll_y_0_5_pitch_y_0_3_pitch_x_0_7_pris_x_0_1_roll_z_0_3,6,0.030407190322875977,False,,,,,,,,
6,_roll_z_0_1_roll_y_0_5_pitch_y_0_3_pitch_x_0_7_pris_x_0_1_roll_z_0_3,7,0.027193069458007812,False,,,,,,,,
7,_roll_z_0_1_roll_y_0_5_pitch_y_0_3_pitch_x_0_7_pris_x_0_1_roll_z_0_3,8,0.021960020065307617,False,,,,,,,,
8,_roll_z_0_1_roll_y_0_5_pitch_y_0_3_pitch_x_0_7_pris_x_0_1_roll_z_0_3,9,0.029870986938476562,False,,,,,,,,
9,_roll_z_0_1_roll_y_0_5_pitch_y_0_3_pitch_x_0_7_pris_x_0_1_roll_z_0_3,10,0.030411958694458008,False,,,,,,,,
0,_roll_z_0_1_roll_y_0_7_pris_z_0_5_pris_y_0_1_roll_x_0_1_pitch_y_0_3,1,1.0197410583496094,False,,,,,,,,
1,_roll_z_0_1_roll_y_0_7_pris_z_0_5_pris_y_0_1_roll_x_0_1_pitch_y_0_3,2,3.532198190689087,True,1.071,"[[ 0.00000000e+00  9.14977496e-01 -6.78545835e-02  7.59606467e-01
  -1.28043796e-01 -2.37502370e-01  2.01745415e-01]
 [ 1.00000000e+00  8.44122854e-01 -7.92498918e-02 -6.50382976e-01
  -1.49547111e-01  1.89315783e-01  2.35353681e-01]
 [ 0.00000000e+00  0.00000000e+00 -1.46019690e-01  4.89669416e-12
  -9.80428706e-01 -5.30964530e-02  2.72624480e-03]
 [ 0.00000000e+00  0.00000000e+00  7.59606467e-01  0.00000000e+00
   0.00000000e+00 -6.37654139e-01 -7.59247563e-01]
 [ 0.00000000e+00  0.00000000e+00 -6.50382976e-01  0.00000000e+00
   0.00000000e+00 -7.44739986e-01  6.50796211e-01]
 [ 0.00000000e+00  1.00000000e+00  4.89669416e-12  0.00000000e+00
   0.00000000e+00  1.96874458e-01  2.72564283e-03]]","[ 0.91370435 -2.27888483 -0.19816896  0.00644333  0.09999533 -0.00278006
  1.36383214 -0.85275596]",0,[0.006 0.066 0.    0.119 0.045 0.    0.024],0.119,0.18799999999999997,0.26
2,_roll_z_0_1_roll_y_0_7_pris_z_0_5_pris_y_0_1_roll_x_0_1_pitch_y_0_3,3,1.215867042541504,True,1.071,"[[ 0.00000000e+00  9.09790941e-01 -7.89277436e-02  7.66436687e-01
  -1.28104023e-01 -2.39778422e-01  1.99695102e-01]
 [ 1.00000000e+00  8.66295843e-01 -9.41791184e-02 -6.42319862e-01
  -1.52857834e-01  1.87589067e-01  2.37110415e-01]
 [ 0.00000000e+00  0.00000000e+00 -1.40858129e-01  4.89663171e-12
  -9.79910119e-01 -5.03089328e-02  7.19270134e-04]
 [ 0.00000000e+00  0.00000000e+00  7.66436687e-01  0.00000000e+00
   0.00000000e+00 -6.29415733e-01 -7.64838765e-01]
 [ 0.00000000e+00  0.00000000e+00 -6.42319862e-01  0.00000000e+00
   0.00000000e+00 -7.51039065e-01  6.44113708e-01]
 [ 0.00000000e+00  1.00000000e+00  4.89663171e-12  0.00000000e+00
   0.00000000e+00  1.99439610e-01  1.17980864e-02]]","[ 0.91905878 -2.26831758 -0.20078601  0.01567806  0.08194929 -0.01204026
  1.36767576 -0.86258334]",0,[0.006 0.065 0.001 0.11  0.056 0.    0.024],0.11,0.191,0.262
3,_roll_z_0_1_roll_y_0_7_pris_z_0_5_pris_y_0_1_roll_x_0_1_pitch_y_0_3,4,2.5220119953155518,True,0.616,"[[ 0.00000000e+00  1.01479947e+00 -1.97981543e-01  6.75353128e-01
  -4.49948765e-01 -1.90125907e-01  2.30240187e-01]
 [ 1.00000000e+00  7.16283077e-01 -1.81299593e-01 -7.37494511e-01
  -4.12036024e-01  1.60782197e-01  2.07576966e-01]
 [ 0.00000000e+00  0.00000000e+00 -1.57093161e-01  4.89669416e-12
  -7.92320910e-01 -4.10794124e-02 -1.12220740e-03]
 [ 0.00000000e+00  0.00000000e+00  6.75353128e-01  0.00000000e+00
   0.00000000e+00 -5.84332322e-01 -6.69545921e-01]
 [ 0.00000000e+00  0.00000000e+00 -7.37494511e-01  0.00000000e+00
   0.00000000e+00 -5.35096404e-01  7.42701600e-01]
 [ 0.00000000e+00  1.00000000e+00  4.89669416e-12  0.00000000e+00
   0.00000000e+00  6.10104562e-01  1.01288103e-02]]","[ 1.03007481e+00 -2.40014924e+00 -6.56192553e-01 -5.72285483e-09
  1.21593024e-04 -1.27840703e-02  9.18184488e-01 -7.35048626e-01]",0,[0.017 0.073 0.005 0.125 0.125 0.    0.011],0.125,0.266,0.356
