,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
0,_roll_z_0_1_pris_y_0_3_roll_z_0_3_roll_y_0_1_pitch_y_0_7,1,1.022209882736206,False,,,,,,,,
1,_roll_z_0_1_pris_y_0_3_roll_z_0_3_roll_y_0_1_pitch_y_0_7,2,1.024811029434204,False,,,,,,,,
2,_roll_z_0_1_pris_y_0_3_roll_z_0_3_roll_y_0_1_pitch_y_0_7,3,1.0106449127197266,False,,,,,,,,
3,_roll_z_0_1_pris_y_0_3_roll_z_0_3_roll_y_0_1_pitch_y_0_7,4,4.661077976226807,True,0.778,"[[ 0.00000000e+00 -1.80439471e-01  8.82903407e-01  4.26660105e-02
   2.29013219e-01  6.21972340e-01]
 [ 1.00000000e+00  3.59113392e-12 -7.19587812e-12 -5.03673226e-01
   3.01021964e-01 -3.42388417e-01]
 [ 0.00000000e+00  7.33381301e-01 -4.69554654e-01  8.02248806e-02
  -3.13830448e-02  4.53649720e-03]
 [ 0.00000000e+00  5.55111512e-17  0.00000000e+00  8.82903407e-01
  -4.53867281e-01  4.82198962e-01]
 [ 0.00000000e+00 -1.00000000e+00  0.00000000e+00 -7.19586627e-12
   2.56323869e-01  8.76036320e-01]
 [ 0.00000000e+00  4.89669416e-12  0.00000000e+00 -4.69554654e-01
  -8.53406448e-01  6.67288911e-03]]","[ 0.05357147 -2.05958263  0.27420508 -1.31157924  2.0071105   2.58692911
  0.50752905]",0,[0.108 0.054 0.086 0.022 0.051 0.085],0.086,0.244,0.406
4,_roll_z_0_1_pris_y_0_3_roll_z_0_3_roll_y_0_1_pitch_y_0_7,5,1.0256319046020508,False,,,,,,,,
5,_roll_z_0_1_pris_y_0_3_roll_z_0_3_roll_y_0_1_pitch_y_0_7,6,3.537796974182129,True,0.793,"[[ 0.00000000e+00 -2.78674961e-01  8.06786898e-01  4.39714106e-03
   3.59697605e-01 -5.37138089e-01]
 [ 1.00000000e+00  4.11972532e-12 -7.78978104e-12 -7.21925507e-01
  -3.44513289e-01 -4.64281076e-01]
 [ 0.00000000e+00  8.41331100e-01 -5.90842535e-01  6.00423225e-03
  -4.79760308e-02 -5.07504220e-03]
 [ 0.00000000e+00 -1.11022302e-16  0.00000000e+00  8.06786898e-01
   5.27505762e-01  6.53954119e-01]
 [ 0.00000000e+00 -1.00000000e+00  0.00000000e+00 -7.78957150e-12
   4.50448095e-01 -7.56511789e-01]
 [ 0.00000000e+00  4.89663865e-12  0.00000000e+00 -5.90842535e-01
   7.20301454e-01 -5.82432790e-03]]","[ 0.10023256 -2.20289908  0.30000034  1.10352915  2.13062718  0.77369004
  2.42755265]",0,[0.094 0.061 0.125 0.015 0.057 0.008],0.125,0.20500000000000002,0.36000000000000004
6,_roll_z_0_1_pris_y_0_3_roll_z_0_3_roll_y_0_1_pitch_y_0_7,7,2.119210958480835,True,0.629,"[[ 0.00000000e+00 -3.98759017e-01  8.12329034e-01  5.13534419e-03
   3.59799175e-01 -5.36085558e-01]
 [ 1.00000000e+00  3.35329310e-12 -7.75235538e-12 -7.23302131e-01
  -3.42516721e-01 -4.65461962e-01]
 [ 0.00000000e+00  6.84806266e-01 -5.83199401e-01  7.15293806e-03
  -4.50761312e-02 -7.57870005e-03]
 [ 0.00000000e+00 -1.11022302e-16  0.00000000e+00  8.12329034e-01
   5.20432935e-01  6.55622361e-01]
 [ 0.00000000e+00 -1.00000000e+00  0.00000000e+00 -7.75230827e-12
   4.51293396e-01 -7.55088704e-01]
 [ 0.00000000e+00  4.89663865e-12  0.00000000e+00 -5.83199401e-01
   7.24902636e-01 -6.08252771e-04]]","[ 0.12596573 -2.19345803  0.10755771  1.10258213  2.1328627   0.77057752
  2.43289372]",0,[0.087 0.061 0.01  0.015 0.058 0.008],0.058,0.091,0.239
7,_roll_z_0_1_pris_y_0_3_roll_z_0_3_roll_y_0_1_pitch_y_0_7,8,1.931061029434204,True,0.747,"[[ 0.00000000e+00 -3.93750142e-01  8.77798265e-01  6.39010374e-03
   3.26058181e-01 -5.18533597e-01]
 [ 1.00000000e+00  4.37513447e-12 -7.24227784e-12 -7.73643603e-01
  -2.72414730e-01 -4.84977099e-01]
 [ 0.00000000e+00  8.93493052e-01 -4.79030486e-01  1.17095303e-02
  -3.86016995e-02  4.48580052e-03]
 [ 0.00000000e+00 -5.55111512e-17  0.00000000e+00  8.77798265e-01
   4.37005728e-01  6.83083370e-01]
 [ 0.00000000e+00 -1.00000000e+00  0.00000000e+00 -7.24228458e-12
   4.09586640e-01 -7.30339988e-01]
 [ 0.00000000e+00  4.89663865e-12  0.00000000e+00 -4.79030486e-01
   8.00790096e-01  7.81923759e-04]]","[ 0.12606828 -2.07034622  0.29429988  1.14879542  2.21334132  0.63586464
  2.3924679 ]",0,[0.087 0.054 0.116 0.017 0.062 0.005],0.116,0.2,0.341
8,_roll_z_0_1_pris_y_0_3_roll_z_0_3_roll_y_0_1_pitch_y_0_7,9,1.0116660594940186,False,,,,,,,,
9,_roll_z_0_1_pris_y_0_3_roll_z_0_3_roll_y_0_1_pitch_y_0_7,10,4.417946100234985,True,0.415,"[[ 0.00000000e+00 -4.81987509e-01  8.74643025e-01  6.69221708e-02
   5.47949802e-01  2.49787250e-01]
 [ 1.00000000e+00  2.57090788e-12 -7.27037018e-12 -6.76087064e-01
  -2.42979945e-01  6.64600447e-01]
 [ 0.00000000e+00  5.25035247e-01 -4.84767552e-01  1.20744488e-01
   5.71932920e-02 -3.54625053e-03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  8.74643025e-01
   2.95698498e-01 -9.36068731e-01]
 [ 0.00000000e+00 -1.00000000e+00  0.00000000e+00 -7.27033965e-12
   7.92416830e-01  3.51797683e-01]
 [ 0.00000000e+00  4.89663865e-12  0.00000000e+00 -4.84767552e-01
   5.33514729e-01 -3.70427792e-03]]","[-1.60872440e-07 -2.07689371e+00  2.39073675e-02  6.56035318e-01
 -6.14728134e-01 -1.00304653e+00 -1.20185184e+00]",0,[0.125 0.055 0.088 0.005 0.005 0.013],0.088,0.111,0.29100000000000004
