0.182,[ 0.883  0.004  0.     0.005  0.009  0.004  0.031],"[[  0.00000000e+00  -6.79981801e-01  -3.42400959e-01  -3.03304865e-01
   -8.42576063e-02  -1.29999994e-01   1.01376291e-16]
 [  1.00000000e+00   2.93767536e-12   8.71821089e-01   3.73979754e-01
    7.00340165e-02  -3.57122304e-05  -5.20514452e-17]
 [  0.00000000e+00   5.99956632e-01  -2.19036139e-01  -1.94026111e-01
   -5.39001434e-02   1.47850634e-05  -2.37535253e-21]
 [  0.00000000e+00  -5.55111512e-17  -5.38878323e-01  -5.38878323e-01
   -5.38878323e-01   2.74729450e-04   1.13682972e-04]
 [  0.00000000e+00  -1.00000000e+00   4.12491222e-12   4.12492263e-12
    4.12481160e-12  -9.99999947e-01   1.75777480e-04]
 [  0.00000000e+00   4.89641661e-12   8.42383614e-01   8.42383614e-01
    8.42383614e-01   1.75746242e-04   9.99999978e-01]]","[ 2.74348585  0.56910499  0.09295635  0.61473556  0.86343055 -0.5692187
 -1.5709584  -1.57095795]"
0.184,[ 0.353  0.006  0.     0.007  0.01   0.006  0.031],"[[  0.00000000e+00  -7.50034583e-01  -2.47475785e-01  -2.72316679e-01
   -7.76325082e-02  -1.29999912e-01   1.43280705e-16]
 [  1.00000000e+00   2.64443666e-12   8.92285699e-01   3.93312416e-01
    8.18620205e-02  -1.07429006e-04   1.60021464e-17]
 [  0.00000000e+00   5.40051420e-01  -2.01377337e-01  -2.21591004e-01
   -6.31715454e-02  -1.06822632e-04   1.07070258e-19]
 [  0.00000000e+00   0.00000000e+00  -6.31164988e-01  -6.31164988e-01
   -6.31164988e-01   8.25824874e-04  -8.22267412e-04]
 [  0.00000000e+00  -1.00000000e+00   3.79807297e-12   3.79780755e-12
    3.79785483e-12  -9.99999433e-01   6.71315658e-04]
 [  0.00000000e+00   4.89663865e-12   7.75648605e-01   7.75648605e-01
    7.75648605e-01   6.71994705e-04   9.99999437e-01]]","[ 2.01094249  0.68305425 -0.06409581  0.742419    0.89353782 -0.68223226
 -1.57071905 -1.57071861]"
 ,,,
 ,,,
0.115,[ 0.213  0.002  0.001  0.037  0.001  0.002  0.031],"[[  0.00000000e+00  -4.79967709e-01  -3.02154079e-01  -4.50646733e-01
   -9.15934926e-02  -1.29999935e-01   3.61513662e-18]
 [  1.00000000e+00   2.20376530e-12   6.04803545e-01   1.31810797e-01
    5.20466881e-02   2.39057916e-05   1.76521666e-17]
 [  0.00000000e+00   4.50077165e-01  -1.32306231e-01  -1.97327704e-01
   -4.01066562e-02  -1.28214624e-04   4.98334960e-21]
 [  0.00000000e+00   0.00000000e+00  -4.01108445e-01  -4.01108445e-01
   -4.01108445e-01  -1.83811412e-04  -9.86281122e-04]
 [  0.00000000e+00  -1.00000000e+00   4.48560980e-12   4.48535653e-12
    4.48546061e-12  -9.99999980e-01  -8.03053967e-05]
 [  0.00000000e+00   4.89641661e-12   9.16030576e-01   9.16030576e-01
    9.16030576e-01  -8.04867242e-05   9.99999510e-01]]","[-0.22985728  0.41272658 -0.33017539  1.70021564  0.20055541 -0.4117403
 -1.57074725 -1.57074681]"
 ,,,
0.119,[ 0.902  0.006  0.001  0.005  0.02   0.006  0.031],"[[  0.00000000e+00  -7.79964027e-01  -7.34844341e-02  -1.78410267e-01
   -7.77966083e-02  -1.29999864e-01  -8.07391805e-17]
 [  1.00000000e+00   2.83991445e-12   9.41652859e-01   4.60232864e-01
    8.17712197e-02  -1.50203970e-04   7.74120351e-17]
 [  0.00000000e+00   5.80016217e-01  -5.95309228e-02  -1.44533029e-01
   -6.30242846e-02   1.13629724e-04  -2.10434748e-21]
 [  0.00000000e+00   1.11022302e-16  -6.29476210e-01  -6.29476210e-01
   -6.29476210e-01   1.15623382e-03   8.72991570e-04]
 [  0.00000000e+00  -1.00000000e+00   3.80476206e-12   3.80475512e-12
    3.80474471e-12  -9.99998893e-01   9.37693293e-04]
 [  0.00000000e+00   4.89641661e-12   7.77019756e-01   7.77019756e-01
    7.77019756e-01   9.36683641e-04   9.99999179e-01]]","[-1.26457055  0.68087893 -0.27346833  0.60312323  1.24262945 -0.68175246
 -1.57109665 -1.57109621]"
0.208,[ 2.766  0.005  0.008  0.016  0.019  0.005  0.031],"[[  0.00000000e+00  -6.80017797e-01   9.77664961e-02  -1.85961954e-01
   -7.98926581e-02  -1.29999885e-01   1.82074814e-16]
 [  1.00000000e+00   2.44786278e-12   8.07970164e-01   4.55544908e-01
    7.81604011e-02   1.72214887e-04   8.32633387e-19]
 [  0.00000000e+00   4.99929434e-01   7.33348497e-02  -1.39490444e-01
   -5.99276470e-02  -1.47513982e-05   2.17275531e-20]
 [  0.00000000e+00   0.00000000e+00  -6.00052249e-01  -6.00052249e-01
   -6.00052249e-01  -1.32461651e-03  -1.14788387e-04]
 [  0.00000000e+00  -1.00000000e+00   3.91722245e-12   3.91728316e-12
    3.91731135e-12  -9.99998629e-01  -9.93446372e-04]
 [  0.00000000e+00   4.89641661e-12   7.99960811e-01   7.99960811e-01
    7.99960811e-01  -9.93597557e-04   9.99999500e-01]]","[-2.7777283   0.64356642 -0.78858394  1.12645873  1.23126569 -0.64345229
 -1.57040948 -1.57040904]"
 ,,,
 ,,,
