,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
0,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,1,3.3273489475250244,True,0.433,"[[ 0.00000000e+00  1.04554222e-01  4.79593752e-01 -1.65853684e-01
   9.23566092e-02]
 [ 1.00000000e+00  5.07059594e-12  1.03589256e+00  1.05842280e-01
  -5.97498533e-02]
 [ 0.00000000e+00  1.03552587e+00 -1.71230257e-03 -6.29671345e-01
  -4.60180512e-04]
 [ 0.00000000e+00 -4.33680869e-19  3.57029599e-03  5.43177404e-01
   5.43177404e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89662846e-12  8.39615714e-01
   8.39615714e-01]
 [ 0.00000000e+00  4.89663865e-12  9.99993626e-01 -1.93931647e-03
  -1.93931647e-03]]",[ 0.5506921  -0.0035703   0.99657536  0.45060371 -2.02021424  0.57891768],0,[0.009 0.    0.013 0.003 0.052],0.052,0.068,0.077
1,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,2,2.124786853790283,True,0.625,"[[ 0.00000000e+00  7.28059372e-02  7.51282923e-01 -1.10555647e-01
   7.28350983e-02]
 [ 1.00000000e+00  4.29550181e-12  8.77345802e-01  1.23896731e-01
  -8.24307470e-02]
 [ 0.00000000e+00  8.77224849e-01 -1.26086640e-03 -6.43739870e-01
  -4.69470536e-04]
 [ 0.00000000e+00  2.16840434e-19  1.67828202e-03  7.49373105e-01
   7.49373105e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89674967e-12  6.62146787e-01
   6.62146787e-01]
 [ 0.00000000e+00  4.89669416e-12  9.99998592e-01 -1.25766117e-03
  -1.25766117e-03]]","[ 8.70156716e-01 -1.67828280e-03  7.23679921e-01  4.04253931e-01
 -1.97189360e+00  8.44966365e-01]",0,[0.003 0.    0.007 0.002 0.049],0.049,0.058,0.061
2,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,3,1.4367311000823975,True,0.633,"[[ 0.00000000e+00 -9.41512453e-04  7.53375372e-01 -6.27661550e-02
   7.44037688e-02]
 [ 1.00000000e+00  4.45131100e-12  9.09093921e-01  7.07108895e-02
  -8.10170893e-02]
 [ 0.00000000e+00  9.09095643e-01  2.44127053e-03 -6.70006961e-01
  -5.57162901e-04]
 [ 0.00000000e+00  0.00000000e+00 -3.24042677e-03  7.36534521e-01
   7.36534521e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89621169e-12  6.76395744e-01
   6.76395744e-01]
 [ 0.00000000e+00  4.89641661e-12  9.99994750e-01  2.38669871e-03
   2.38669871e-03]]",[ 0.87735507  0.00324043  0.74285806  0.29871022 -1.86224958  0.83340697],0,[0.004 0.    0.007 0.001 0.044],0.044,0.052,0.055999999999999994
3,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,4,2.1323139667510986,True,0.869,"[[ 0.00000000e+00 -1.12342907e-01  9.83845488e-01  1.07618530e-02
   5.07988501e-02]
 [ 1.00000000e+00  3.38877381e-12  6.92738294e-01 -1.24968546e-02
  -9.75613876e-02]
 [ 0.00000000e+00  6.92061278e-01  6.04343668e-03 -6.92538596e-01
   1.11914655e-03]
 [ 0.00000000e+00  1.73472348e-18 -6.14255261e-03  8.86928847e-01
   8.86928847e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89658314e-12  4.61873943e-01
   4.61873943e-01]
 [ 0.00000000e+00  4.89663865e-12  9.99981134e-01  5.44810989e-03
   5.44810989e-03]]",[ 1.06006192  0.00614259  0.48010684  0.13744271 -1.71557629  1.08685376],0,[0.021 0.    0.003 0.    0.037],0.037,0.04,0.061
4,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,5,2.2360498905181885,True,0.611,"[[ 0.00000000e+00 -2.04474338e-01  7.21629762e-01  7.92532180e-02
   7.89015342e-02]
 [ 1.00000000e+00  4.75775710e-12  9.72494450e-01 -7.42574313e-02
  -7.66455692e-02]
 [ 0.00000000e+00  9.71681433e-01  2.89695350e-03 -7.00063826e-01
  -6.79884324e-05]
 [ 0.00000000e+00  0.00000000e+00 -4.01442722e-03  6.96776549e-01
   6.96776549e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89680605e-12  7.17282801e-01
   7.17282801e-01]
 [ 0.00000000e+00  4.89641661e-12  9.99991942e-01  2.79718129e-03
   2.79718129e-03]]",[ 0.83511441  0.00401444  0.79989481  0.00489628 -1.57219503  0.78060208],0,[0.002 0.    0.008 0.    0.031],0.031,0.039,0.041
5,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,6,1.7378919124603271,True,0.714,"[[ 0.00000000e+00 -2.74638072e-01  8.28419702e-01  1.15312263e-01
   6.94155732e-02]
 [ 1.00000000e+00  4.29722233e-12  8.80134057e-01 -1.33811874e-01
  -8.53312872e-02]
 [ 0.00000000e+00  8.77625864e-01  7.67980248e-03 -6.97032010e-01
  -2.22763082e-04]
 [ 0.00000000e+00 -1.73472348e-18 -9.27002640e-03  7.75729696e-01
   7.75729696e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89636109e-12  6.31024344e-01
   6.31024344e-01]
 [ 0.00000000e+00  4.89641661e-12  9.99957032e-01  7.19134376e-03
   7.19134376e-03]]",[ 0.89197242  0.00927016  0.68287294 -0.08939626 -1.47352509  0.88512917],0,[0.004 0.    0.006 0.    0.027],0.027,0.033,0.037
6,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,7,2.0339279174804688,True,0.87,"[[ 0.00000000e+00 -3.51126399e-01  9.77175952e-01  1.21288992e-01
   5.09314962e-02]
 [ 1.00000000e+00  3.37271017e-12  6.90948320e-01 -2.24164525e-01
  -9.74974360e-02]
 [ 0.00000000e+00  6.88811991e-01  5.98137110e-03 -6.85321948e-01
  -4.82353009e-04]
 [ 0.00000000e+00  8.67361738e-19 -6.12096424e-03  8.86346819e-01
   8.86346819e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89630558e-12  4.62990152e-01
   4.62990152e-01]
 [ 0.00000000e+00  4.89641661e-12  9.99981267e-01  5.42539882e-03
   5.42539882e-03]]",[ 1.0853102   0.006121    0.48136574 -0.20559752 -1.35797971  1.09423482],0,[0.025 0.    0.003 0.001 0.023],0.023,0.027,0.052000000000000005
7,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,8,2.0297207832336426,True,0.685,"[[ 0.00000000e+00 -4.20510586e-01  8.02728629e-01  2.07855811e-01
   6.96517896e-02]
 [ 1.00000000e+00  4.20967274e-12  8.63515679e-01 -2.46673344e-01
  -8.51361683e-02]
 [ 0.00000000e+00  8.59745772e-01  7.26400880e-03 -6.66258309e-01
   6.79011645e-04]
 [ 0.00000000e+00  1.73472348e-18 -9.04877582e-03  7.73933555e-01
   7.73933555e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89652763e-12  6.33228082e-01
   6.33228082e-01]
 [ 0.00000000e+00  4.89641661e-12  9.99959059e-01  7.00343797e-03
   7.00343797e-03]]",[ 0.92495147  0.0090489   0.68571697 -0.30276699 -1.26847225  0.88413088],0,[0.007 0.    0.006 0.001 0.02 ],0.02,0.027,0.034
8,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,9,1.8374171257019043,True,0.534,"[[ 0.00000000e+00 -4.58500998e-01  6.41233684e-01  2.73413765e-01
   8.24184181e-02]
 [ 1.00000000e+00  4.74450986e-12  9.67073223e-01 -2.43984666e-01
  -7.28443242e-02]
 [ 0.00000000e+00  9.68931996e-01 -2.58855513e-03 -6.50377460e-01
   9.53301240e-04]
 [ 0.00000000e+00  0.00000000e+00  4.03680297e-03  6.62260993e-01
   6.62260993e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89669416e-12  7.49268463e-01
   7.49268463e-01]
 [ 0.00000000e+00  4.89663865e-12  9.99991852e-01 -2.67343892e-03
  -2.67343892e-03]]",[ 0.86225368 -0.00403681  0.84695679 -0.37811142 -1.20437608  0.72022768],0,[0.003 0.    0.009 0.002 0.018],0.018,0.028999999999999998,0.032
9,_roll_z_0_1_pitch_y_0_5_pitch_x_0_7_pitch_y_0_1,10,2.5367438793182373,True,0.934,"[[ 0.00000000e+00 -4.56864074e-01  1.04433241e+00  1.17936604e-01
   3.48817205e-02]
 [ 1.00000000e+00  2.52258461e-12  5.17863558e-01 -3.41263836e-01
  -1.04321379e-01]
 [ 0.00000000e+00  5.15190108e-01  6.13156475e-03 -6.53983493e-01
  -5.61609136e-04]
 [ 0.00000000e+00  1.73472348e-18 -5.87117569e-03  9.48382848e-01
   9.48382848e-01]
 [ 0.00000000e+00 -1.00000000e+00  4.89656731e-12  3.17078805e-01
   3.17078805e-01]
 [ 0.00000000e+00  4.89641661e-12  9.99982764e-01  5.56821829e-03
   5.56821829e-03]]",[ 1.17993615  0.00587121  0.32264776 -0.3649535  -1.19887554  1.24734338],0,[0.041 0.    0.001 0.002 0.018],0.018,0.020999999999999998,0.062
